ANNEX C
CROSS-REFERENCE OF CODEX STANDARDISED FOODS WITH THE FOOD CATEGORY SYSTEM USED FOR THE ELABORATION OF THE GSFA
Annex C sorted by Codex Standard Number
| Standard No   | Codex Standard Title                                                                                                                     | Food Cat. No.   |
| 214-1999      | Pumelos ( Citrus grand i)                                                            | 04.1.1.1        |
| 215-1999      | Guavas                                                                               | 04.1.1.1        |
| Standard No   | Codex Standard Title                                                                          | Food Cat. No.   |
|---------------|-----------------------------------------------------------------------------------------------|-----------------|
| 216-1999      | Chayotes                                                                                      | 04.1.1.1        |
| 217-1999      | Mexican Limes                                                                                 | 04.1.1.1        |
| 218-1999      | Ginger                                                                                        | 04.2.1.1        |
| 219-1999      | Grapefruits ( Citrus paradisi )                                                               | 04.1.1.1        |
| 220-1999      | Longans                                                                                       | 04.1.1.1        |
| 221-2001      | Unripened Cheese, including Fresh Cheese                                                      | 01.6.1          |
| 222-2001      | Crackers from Marine and Freshwater Fish, Crustaceans and Molluscan Shellfish                 | 09.2.5          |
| 223-2001      | Kimchi                                                                                        | 04.2.2.7        |
| 224-2001      | Tannia                                                                                        | 04.2.1.1        |
| 225-2001      | Asparagus                                                                                     | 04.2.1.1        |
| 226-2001      | Cape Gooseberry                                                                               | 04.1.1.1        |
| 227-2001      | Bottled/Packaged Drinking Waters (other than natural mineral water)                           | 14.1.1.2        |
| 236-2003      | Boiled Dried Salted Anchovies                                                                 | 09.2.5          |
| 237-2003      | Pitahayas                                                                                     | 04.1.1.1        |
| 238-2003      | Sweet Cassava                                                                                 | 04.2.1.1        |
| 240-2003      | Aqueous Coconut Products (coconut milk and coconut cream)                                     | 04.1.2.8        |
| 241-2003      | Canned Bamboo Shoots                                                                          | 04.2.2.4        |
| 242-2003      | Canned Stone Fruits                                                                           | 04.1.2.4        |
| 243-2003      | Fermented Milks (flavoured, heat treated and non-heat treated)                                | 01.7            |
| 243-2003      | Fermented Milks (drinks based on fermented milk, flavoured, heat treated or not heat treated) | 01.1.4          |
| 243-2003      | Fermented Milks (drinks based on fermented milk, (plain))                                     | 01.2.1          |
| 243-2003      | Fermented Milks (drinks based on fermented milk (plain, not heat treated))                    | 01.2.1.1        |
| 243-2003      | Fermented Milks (drinks based on fermented milk (plain, heat treated))                        | 01.2.1.2        |
| 244-2004      | Salted Atlantic Herring and Salted Sprat                                                      | 09.2.5          |
| 245-2004      | Oranges                                                                                       | 04.1.1.1        |
| 246-2005      | Rambutan                                                                                      | 04.1.1.1        |
| 247-2005      | Fruit Juices and Nectars (fruit juices)                                                       | 14.1.2.1        |
| 247-2005      | Fruit Juices and Nectars (concentrates for fruit juice)                                       | 14.1.2.3        |
| 247-2005      | Fruit Juices and Nectars (fruit nectars)                                                      | 14.1.3.1        |
| 247-2005      | Fruit Juices and Nectars (concentrates for fruit nectars)                                     | 14.1.3.3        |
| 249-2006      | Instant Noodles                                                                               | 06.4.3          |
| 250-2006      | Blend of Evaporated Skimmed Milk and Vegetable Fat                                            | 01.3.2          |
| 251-2006      | Blend of Skimmed Milk and Vegetable Fat in Powdered Form                                      | 01.5.2          |
| 252-2006      | Blend of Sweetened Condensed Milk and Vegetable Fat                                           | 01.3.2          |
| 253-2006      | Dairy Fat Spreads                                                                             | 02.2.2          |
| 254-2007      | Certain Canned Citrus Fruits                                                                  | 04.1.2.4        |
| 255-2007      | Table Grapes                                                                                  | 04.1.1.1        |
| 256-2007      | Fat Spreads and Blended Spreads                                                               | 02.2.2          |
| Standard No   | Codex Standard Title                                                                                                                                                                        | Food Cat. No.   |
|---------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------|
| 258R-2007     | Canned Foul Medames (Regional Standard)                                                                                                                                                     | 04.2.2.4        |
| 259R-2007     | Tehena (Regional Standard)                                                                                                                                                                  | 04.2.2.6        |
| 260-2007      | Pickled Fruits and Vegetables (pickled fruits)                                                                                                                                              | 04.1.2.3        |
| 260-2007      | Pickled Fruits and Vegetables (fermented fruits)                                                                                                                                            | 04.1.2.10       |
| 260-2007      | Pickled Fruits and Vegetables (pickled vegetables)                                                                                                                                          | 04.2.2.3        |
| 260-2007      | Pickled Fruits and Vegetables (fermented vegetables)                                                                                                                                        | 04.2.2.7        |
| 262-2006      | Mozzarella                                                                                                                                                                                  | 01.6.1          |
| 263-1966      | Cheddar                                                                                                                                                                                     | 01.6.2.1        |
| 264-1966      | Danbo                                                                                                                                                                                       | 01.6.2.1        |
| 265-1966      | Edam                                                                                                                                                                                        | 01.6.2.1        |
| 266-1966      | Gouda                                                                                                                                                                                       | 01.6.2.1        |
| 267-1966      | Havarti                                                                                                                                                                                     | 01.6.2.1        |
| 268-1966      | Samsoe                                                                                                                                                                                      | 01.6.2.1        |
| 269-1967      | Emmental                                                                                                                                                                                    | 01.6.2.1        |
| 270-1968      | Tilsiter                                                                                                                                                                                    | 01.6.2.1        |
| 271-1968      | Saint Paulin                                                                                                                                                                                | 01.6.2.1        |
| 272-1968      | Provolone                                                                                                                                                                                   | 01.6.2.1        |
| 273-1968      | Cottage Cheese                                                                                                                                                                              | 01.6.1          |
| 274-1969      | Coulommiers                                                                                                                                                                                 | 01.6.2.1        |
| 275-1973      | Cream Cheese (Rahmfrischkäse)                                                                                                                                                               | 01.6.1          |
| 276-1973      | Camembert                                                                                                                                                                                   | 01.6.2.1        |
| 277-1973      | Brie                                                                                                                                                                                        | 01.6.2.1        |
| 278-1978      | Extra Hard Grating Cheese                                                                                                                                                                   | 01.6.2.1        |
| 279-1971      | Butter                                                                                                                                                                                      | 02.2.1          |
| 280-1973      | Milkfat Products                                                                                                                                                                            | 02.1.1          |
| 281-1971      | Evaporated milks                                                                                                                                                                            | 01.3.1          |
| 282-1971      | Sweetened Condensed Milks                                                                                                                                                                   | 01.3.1          |
| 283-1978      | Cheese (ripened, including mould ripened)                                                                                                                                                   | 01.6.2.1        |
| 284-1971      | Whey Cheeses (whey cheese)                                                                                                                                                                  | 01.6.3          |
| 284-1971      | Whey Cheeses (whey protein cheese)                                                                                                                                                          | 01.6.6          |
| 288-1976      | Cream and Prepared Creams (fermented cream, acidified cream, including those made from reconstituted or recombined cream)                                                                   | 01.4.3          |
| 288-1976      | Cream and Prepared Creams (prepackaged pasteurized liquid cream, including those made from reconstituted or recombined cream)                                                               | 01.4.1          |
| 288-1976      | Cream and Prepared Creams (prepackaged sterilized and UHT cream, whipping cream, cream packaged under pressure, whipped cream, including those made from reconstituted or recombined cream) | 01.4.2          |
| 289-1995      | Whey Powders                                                                                                                                                                                | 01.8.2          |
| 290-1995      | Edible Casein Products                                                                                                                                                                      | 01.5.1          |
| 291-2010      | Sturgeon Caviar                                                                                                                                                                             | 09.3.3          |
| 292-2008      | Raw and Live Bivalve Molluscs (live)                                                                                                                                                        | 09.1.2          |
| 292-2008      | Raw and Live Bivalve Molluscs (raw, chilled shucked)                                                                                                                                        | 09.1.2          |
| 292-2008      | Raw and Live Bivalve Molluscs (raw, frozen)                                                                                                                                                 | 09.2.1          |
