|   INS No | Additive                            | Functional Class                                                                                   |   Year Adopted | Specific allowance in the following commodity standards 1                                                                                                                                                                                                               |
| 270       | Lactic acid, L-, D- and DL-              | Acidity regulator                              |           1999 | CS 70-1981, CS 94-1981, CS 119-1981, CS 249-2006, CS 208-1999, CS 221-2001, CS 273-1968, CS 275-1973, CS 262-2006 (for use in cheese mass only), CS 243- 2003, CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                              |
| 472b      | Lactic and fatty acid esters of glycerol | Emulsifier, Sequestrant, Stabilizer            |           1999 | CS 275-1973, CS 253-2006 (see functional class table and footnote), CS 243-2003 (stabilizer only), CS 288- 1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                                                                                         |
| 966       | Lactitol                                 | Emulsifier, Sweetener, Thickener               |           1999 | CS 87-1981, CS 105-1981, CS 243-2003 (sweetener only, limited to milk- and milk derivative-based products energy reduced or with no added sugar)                                                                                                                                                                        |
| 322(i)    | Lecithin                                 | Antioxidant, Emulsifier, Flour treatment agent |           1999 | CS 87-1981, CS 105-1981, CS 141-1983, CS 249-2006, CS 250-2006, CS 251-2006, CS 252-2006, CS 275-1973, CS 207-1999, CS 281-1971, CS 282-1971, CS 290-1995, CG 95-2022 (For use at 5000 mg/kg as emulsifier), CS 243-2003 (emulsifier only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only) |
| 322(ii)   | Lecithin, partially hydrolysed           | Antioxidant, Emulsifier                        |           2021 | CS 87-1981, CS 105-1981, CS 141-1983, CS 249-2006, CS 207-1999, CS 281-1971, CS 282-1971, CS 290-1995, CS 243-2003 (emulsifier only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6)                                                                                                             |
| 1104      | Lipases                                  | Flavour enhancer                               |           1999 |                                                                                                                                                                                                                                                                                                                         |
| 161b(iii) | Lutein esters from Tagetes erecta        | Colour                                         |           2018 | CS 87-1981 (for use in surface decoration only), CS 243-2003                                                                                                                                                                                                                                                            |
| 161b(i)   | Lutein from Tagetes erecta               | Colour                                         |           2021 | CS 87-1981 (for use in surface decoration only), CS 243-2003                                                                                                                                                                                                                                                            |
1 This column only lists commodity standards that allow specific Table 3 additives. If a commodity standard allows Table 3 additives on a general basis or based on functional class, that information is contained in the 'References to Commodity Standards for GSFA Table 3 Additives
Specific allowance in
| INS No    | Additive                      | Functional Class                                                                   |   Year Adopted | the following commodity standards 1                                                                                                                                                                                                                                                                                                                                              |
|-----------|-------------------------------|------------------------------------------------------------------------------------|----------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 160d(iii) | Lycopene, Blakeslea trispora  | Colour                                                                             |           2012 | CS 243-2003                                                                                                                                                                                                                                                                                                                                                                      |
| 160d(i)   | Lycopene, synthetic           | Colour                                                                             |           2012 | CS 306-2011 (at 390 mg/kg), CS 243-2003                                                                                                                                                                                                                                                                                                                                          |
| 160d(ii)  | Lycopene, tomato              | Colour                                                                             |           2012 | CS 243-2003                                                                                                                                                                                                                                                                                                                                                                      |
| 504(i)    | Magnesium carbonate           | Acidity regulator, Anticaking agent, Colour retention agent, Flour treatment agent |           1999 | CS 87-1981, CS 105-1981, CS 141-1983, CS 263-1966, CS 264- 1966, CS 265- 1966, CS 266-1966, CS 267- 1966, CS 268-1966, CS 269- 1967, CS 270-1968, CS 271-1968, CS 272- 1968 (for use in cheese mass only for these standards), CS 251-2006, CS 273-1968, CS 275-1973, CS 283-1978, CS 262-2006 (for use in cheese mass only), CS 290- 1995, CS 243-2003 (acidity regulator only) |
| 511       | Magnesium chloride            | Colour retention agent, Firming agent, Stabilizer                                  |           1999 | CS 243-2003 (stabilizer only)                                                                                                                                                                                                                                                                                                                                                    |
| 625       | Magnesium di-L-glutamate      | Flavour enhancer                                                                   |           1999 | CS 243-2003                                                                                                                                                                                                                                                                                                                                                                      |
| 580       | Magnesium gluconate           | Acidity regulator, Firming agent, Flavour enhancer                                 |           1999 | CS 57-1981, CS 243-2003 (acidity regulator or flavour enhancer only)                                                                                                                                                                                                                                                                                                             |
| 528       | Magnesium hydroxide           | Acidity regulator, Colour retention agent                                          |           1999 | CS 87-1981, CS 105-1981, CS 141-1983, CS 290-1995, CS 243-2003 (acidity regulator only)                                                                                                                                                                                                                                                                                          |
| 504(ii)   | Magnesium hydroxide carbonate | Acidity regulator, Anticaking agent, Carrier, Colour retention agent               |           1999 | CS 275-1973, CS 283-1978, CS 273-1968, CS 262-2006 (for use in cheese mass only), CS 290-1995, CS 243- 2003 (acidity regulator only)                                                                                                                                                                                                                                             |
| 329       | Magnesium lactate, DL-        | Acidity regulator, Flour treatment agent                                           |           1999 | CS 253-2006, CS 290-1995, CS 243-2003 (acidity regulator only)                                                                                                                                                                                                                                                                                                                   |
| 530       | Magnesium oxide               | Acidity regulator, Anticaking agent                                                |           1999 | CS 87-1981, CS 105-1981, CS 141-1983, CS 251-2006, CS 243-2003 (acidity regulator only)                                                                                                                                                                                                                                                                                          |
| 553(i)    | Magnesium silicate, synthetic | Anticaking agent                                                                   |           1999 | CS 105-1981, CS 251-2006                                                                                                                                                                                                                                                                                                                                                         |
| 470(iii)  | Magnesium stearate            | Anticaking agent, Emulsifier, Thickener                                            |           2016 | CS 243-2003 (emulsifier only)                                                                                                                                                                                                                                                                                                                                                    |
1 This column only lists commodity standards that allow specific Table 3 additives. If a commodity standard allows Table 3 additives on a general basis or based on functional class, that information is contained in the 'References to Commodity Standards for GSFA Table 3 Additives
Specific allowance in
| INS No   | Additive                            | Functional Class                                                                      |   Year Adopted | the following commodity standards 1                                                                                                                                                                                                             |
|----------|-------------------------------------|---------------------------------------------------------------------------------------|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 518      | Magnesium sulfate                   | Firming agent, Flavour enhancer                                                       |           2009 |                                                                                                                                                                                                                                                 |
| 296      | Malic acid, DL-                     | Acidity regulator, Sequestrant                                                        |           1999 | CS 302-2011, CS 249-2006, CS 221-2001, CS 273-1968, CS 275-1973, CS 262-2006 (for use in cheese mass only), CS 243-2003 (acidity regulator only)                                                                                                |
| 965(i)   | Maltitol                            | Bulking agent, Emulsifier, Humectant, Stabilizer, Sweetener, Thickener                |           1999 | CS 87-1981, CS 105-1981, CS 243-2003 (sweetener only, limited to milk- and milk derivative-based products energy reduced or with no added sugar)                                                                                                |
| 965(ii)  | Maltitol syrup                      | Bulking agent, Emulsifier, Humectant, Stabilizer, Sweetener, Thickener                |           1999 | CS 87-1981, CS 105-1981, CS 243-2003 (sweetener only, limited to milk- and milk derivative-based products energy reduced or with no added sugar)                                                                                                |
| 421      | Mannitol                            | Anticaking agent, Bulking agent, Carrier, Humectant, Stabilizer, Sweetener, Thickener |           1999 | CS 87-1981, CS 105-1981, CG 95-2022 (For use at 10 mg/kg as carrier), (For use in vitamin B12 dry rubbing, 0.1% only), CS 243-2003 (sweetener only, limited to milk- and milk derivative- based products energy reduced or with no added sugar) |
| 1205     | Methacrylate copolymer, basic (BMC) | Carrier, Glazing agent                                                                |           2021 | CS 117-1981                                                                                                                                                                                                                                     |
| 461      | Methyl cellulose                    | Bulking agent, Emulsifier, Glazing agent, Stabilizer, Thickener                       |           1999 | CS 253-2006 (see functional class table and footnote), CS 243-2003 (stabilizer or thickener only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                  |
| 465      | Methyl ethyl cellulose              | Emulsifier, Foaming agent, Stabilizer, Thickener                                      |           1999 | CS 253-2006 (see functional class table and footnote), CS 243-2003 (stabilizer or thickener only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                  |
| INS No   | Additive                                   | Functional Class                                                                                          |   Year Adopted | Specific allowance in the following commodity standards 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|----------|--------------------------------------------|-----------------------------------------------------------------------------------------------------------|----------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 460(i)   | Microcrystalline cellulose (Cellulose gel) | Anticaking agent, Bulking agent, Carrier, Emulsifier, Foaming agent, Glazing agent, Stabilizer, Thickener |           1999 | CS 105-1981, CS 263-1966, CS 264-1966, CS 265-1966, CS 266-1966, CS 267-1966, CS 268-1966, CS 269- 1967, CS 270-1968, CS 271- 1968, CS 272-1968 (for surface treatment only, of sliced, cut, shredded or grated cheese for these cheese standards), CS 221- 2001, CS 283-1978 (for use in sliced, cut, shredded or grated cheese only), CS 253-2006 (see functional class table and footnote), CS 262-2006 (as anticaking agent only, see functional class table in CXS 262- 2006), CS 243-2003 (stabilizer or thickener only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only) |
| 471      | Mono- and di-glycerides of fatty acids     | Antifoaming agent, Emulsifier, Glazing agent, Stabilizer                                                  |           1999 | CS 87-1981, CS 105-1981, CS 141-1983, CS 249-2006, CS 251-2006, CS 275-1973, CS 207-1999, CS 253-2006 (see functional class table and footnote), CG 95-2022 (For use at 4000 mg/kg as emulsifier), CS 290-1995, CS 243-2003 (stabilizer or thickener only), CS 288- 1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                                                                                                                                                                                                                    |
| 624      | Monoammonium L-glutamate                   | Flavour enhancer                                                                                          |           1999 | CS 243-2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 622      | Monopotassium L-glutamate                  | Flavour enhancer                                                                                          |           1999 | CS 243-2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| 621      | Monosodium L-glutamate                     | Flavour enhancer                                                                                          |           1999 | CS 89-1981, CS 96-1981, CS 97-1981, CS 98-1981, CS 90-1981, CS 302-2011, CS 249-2006, CS 243-2003                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| 1410     | Monostarch phosphate                       | Emulsifier, Stabilizer, Thickener                                                                         |           1999 | CS 70-1981, CS 94-1981, CS 119-1981, CS 249-2006, CS 221-2001, CS 273-1968, CS 275-1973, CS 253-2006 (see functional class table and footnote), CS 243-2003 (stabilizer or thickener only), CS 288-1976 (in Fermented creams (2.4.5) and acidified creams (2.4.6) only)                                                                                                                                                                                                                                                                                                                                     |
